Reviewer,Paper name,URL,Conference,Year,DHS funding,Origin,Description,Public?,In IMPACT / PREDICT?,Data link,Research or Industry?,Main Category,Sub Category,Note,citeNum
Muwei,Analysis of a _燺/0_牆 Stealth Scan from a Botnet,,IMC,2012,No,Existing,MAWI WIDE Samplepoint-F,Yes,No,,Research,Macro-level Internet Characteristics,Network Traces,,0
Muwei,Wire-Speed Statistical Classification of Network Traffic on Commodity Hardware,,IMC,2012,No,Existing,CAIDA,Yes,No,/,Research,Macro-level Internet Characteristics,Network Traces,CAIDA,31
Muwei,Classifying Internet One-way Traffic,,IMC,2012,No,Existing,"we observe in 2011 on average 108.1 million flows per hour, which corresponds to 3,064 million packets.",No,No,,Research,Macro-level Internet Characteristics,Network Traces,,53
Muwei,Obtaining In-Context Measurements of Cellular Network Performance,,IMC,2012,No,Existing,"Our network dataset consists of anonymized flow records and radio resource control events from approximately 20,000 devices connected to a large US- based cellular provider. Flow records for all traffic were collected on December 5_燺11, 2010 on the logical links between Serving GPRS Sup- port Nodes (SGSNs) in the target metropolitan area and Gateway GPRS Support Nodes (GGSNs) in the UMTS core network. The data contains the following details, at one minute intervals, for each IP flow: initial cell sector, start and end timestamps, TCP header information, TCP hand- shake times [20], device identifiers, domain names, and ap- plication identifiers.",No,No,/,Industry,Macro-level Internet Characteristics,Network Traces,,64
Muwei,Detecting Prefix Hijackings in the Internet with Argus,,IMC,2012,No,Existing,These IPs are collected from CAIDA_燺s Ark [2] and iPlane [23] daily traceroute results,Yes,No,,Industry,Macro-level Internet Characteristics,Network Traces,CAIDA,66
Muwei,Screen-Off Traffic Characterization and Optimization in 3G/4G Networks,,IMC,2012,No,Existing,The UMICH data set [9] totals 118 GB and consists of five- month (05/12/2011 ___ 10/12/2011) data (both cellular and WiFi) from 20 volunteers who used smartphones running Android 2.2,No,No,their own dataset from paper 'A Close Examination of Performance and Power Characteristics of 4G LTE Networks',Research,Macro-level Internet Characteristics,Network Traces,,69
Muwei,DNS to the Rescue: Discerning Content and Services in a Tangled Web,,IMC,2012,No,Existing,"All our datasets are collected at the Points-of-Presence (PoP) of large ISPs where the end customers are connected to the Internet. The five datasets we use in this paper are reported in Tab. 1. In all of these traces activities from several thousands of customers are monitored. In all the 5 datasets, we capture full packets including the application payload without any packet losses.",No,No,/,Industry,Macro-level Internet Characteristics,Network Traces,,92
Muwei,Analysis of a _燺/0_牆 Stealth Scan from a Botnet,,IMC,2012,No,Existing,"The portion of the scan observed by the UCSD Network Telescope involved around 3 million distinct source addresses, generating 20 million probes",,Yes,www.caida.org,Research,Macro-level Internet Characteristics,Topology,,0
Muwei,Analysis of a _燺/0_牆 Stealth Scan from a Botnet,,IMC,2012,No,Existing,Geolocation of IP addresses was done using the MaxMind GeoLite database,Yes,No,,Industry,Macro-level Internet Characteristics,Topology,,0
Muwei,Routing State Distance: A Path-based Metric for Network Analysis,,IMC,2012,No,Existing,Ripe_燺s routing information service raw data project,Yes,No,http://www.ripe.net/data-tools/stats/ris/ris-raw-data,Research,Macro-level Internet Characteristics,Topology,,14
Muwei,Routing State Distance: A Path-based Metric for Network Analysis,,IMC,2012,No,Existing,University of oregon route views pro ject,Yes,No,http://www.routeviews.org,Research,Macro-level Internet Characteristics,Topology,,14
Muwei,On Traffic Matrix Completion in the Internet,,IMC,2012,No,Existing,"In some our results, we make use of AS relationships (cus- tomer/provider and peer/peer); for that purpose we use the AS relationship labeling performed and published by CAIDA",Yes,No,AS relationships: Inference and validation,Research,Macro-level Internet Characteristics,Topology,CAIDA,14
Muwei,Concurrent Prefix Hijacks: Occurrence and Impacts,,IMC,2012,No,Existing,using BGP data collected by RouteViews Oregon collector.,Yes,No,http://www.routeviews.org/,Research,Macro-level Internet Characteristics,Topology,,21
Muwei,Concurrent Prefix Hijacks: Occurrence and Impacts,,IMC,2012,No,Existing,WHOIS,Yes,No,https://whois.icann.org/en,Research,Macro-level Internet Characteristics,Topology,,21
Muwei,On the Incompleteness of the AS-level Graph: a Novel Methodology for BGP Route Collector Placement,,IMC,2012,No,Existing,There are three main projects that collect BGP data and make it publicly available on the web: RouteViews,Yes,No,http://www.routeviews.org,Research,Macro-level Internet Characteristics,Topology,,39
Muwei,On the Incompleteness of the AS-level Graph: a Novel Methodology for BGP Route Collector Placement,,IMC,2012,No,Existing,RIS,Yes,No,http://www.ripe.net/data-tools/stats/ris/routing- information-service,Industry,Macro-level Internet Characteristics,Topology,,39
Muwei,On the Incompleteness of the AS-level Graph: a Novel Methodology for BGP Route Collector Placement,,IMC,2012,No,Existing,PCH,Yes,,http://www.pch.net,Research,Macro-level Internet Characteristics,Topology,,39
Muwei,Obtaining In-Context Measurements of Cellular Network Performance,,IMC,2012,No,Existing,"Radio resource control (RRC) messages were collected on December 5_燺6, 2010 from the Radio Network Controllers (RNCs) in the target metropolitan area. RRC measure- ment and intra-frequency handover events were collected, with their relevant parameters. We post-process the data to extract: event timestamps, a list of cell sectors in the ac- tive set, and received signal code power (RSCP), i.e., signal strength.",No,No,/,Industry,Macro-level Internet Characteristics,Topology,,64
Hannah,Search + Seizure: The Effectiveness of Interventions on SEO Campaigns,http://conferences2.sigcomm.org/imc/2014/papers/p359.pdf,IMC,2014,No,Create Derivative,"provide the first large-scale empirical characterization of SEO abuse for luxury brands. fetch visitor data for each store by visiting the publicly ac- cessible default AWStats URL, In the PSR data set, we found 68,193 _岩hacked_褲 search results.",No,No,/,Research,Attacker Related,Attacks,,22
Hannah,Data Reduction for the Scalable Automated Analysis of Distributed Darknet Traffic,http://dl.acm.org/citation.cfm?id=1251107,IMC,2005,Yes,Create Primary,"Data from 14 darknet monitors ranging in size from a /25 monitor to a /17 monitor over a period of 10 days between August 18, 2004 and August 28, 2004,   ",No,No,/,Research,Defender Artifacts,Alerts,,72
Hannah,Data Reduction for the Scalable Automated Analysis of Distributed Darknet Traffic,http://dl.acm.org/citation.cfm?id=1251107,IMC,2005,Yes,Create Primary,"Number of source IP addresses at each of the 41 darknets during a 21-day period, from March 19th through April 9th, 2005,",No,No,/,Research,Defender Artifacts,Alerts,,72
Hannah,Data Reduction for the Scalable Automated Analysis of Distributed Darknet Traffic,http://dl.acm.org/citation.cfm?id=1251107,IMC,2005,Yes,Create Primary,"31 darknets, we examined the top 10 destination ports, based on the number of packets, and compared these lists across darknet",No,No,/,Research,Defender Artifacts,Alerts,,72
Hannah,Timeouts: Beware Surprisingly High Delay,http://dl.acm.org/citation.cfm?id=2815704,IMC,2015,No,Existing,"We used Data from 103 surveys taken between April 2006 and February 2015, consisting of all echo requests that were sent as part of the surveys in this period, as well as all echo responses  that  were  received,  Zmap scans",Public,DS-391, http://www.isi.edu/ant/traces/topology/addresssurveys/binformatdescription.html,Industry,Users & Organizations Characteristics,User Opinions,,4
Hannah,The MALICIA Dataset: Identification and Analysis of Drive-by Download Operations.,https://lirias.kuleuven.be/bitstream/123456789/464045/1/malicia_dataset.pdf,International Journal of Information Security,2015,No,Create Primary,"collect over time how exploit servers are configured, which exploits they use, and what malware they distribute, grouping servers with similar configurations intooperations",Public,No,http://malicia-project.com/,Research,Defender Artifacts,Configurations,,13
Hannah,Lost in Space: Improving Inference of IPv4 Address Space Utilization,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7460207,JSAC 2016,2016,Yes,Existing,IPv4 2013 census dataset,Public,DS-608,https://www.impactcybertrust.org/dataset_view?idDataset=608,Research,Macro-level Internet Characteristics,Topology,,6
Hannah,Friendship and mobility: User movement in location-based social networks.,http://cs.stanford.edu/people/jure/pubs/mobile-kdd11.pdf,KDD,2011,No,Existing,"Gowalla data contains 6, 442, 890 check-in locations of 196,586 users over the period of Feb. 2009 to Oct. 2010.",No,No,/,Research,Users & Organizations Characteristics,User Information,,1395
Hannah,"Feature Selection for Robust Backscatter DDoSDetection",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7365905,LCN Workshop,2015,No,Existing,specific  darknet  dataset  including  mostly  DDoS  traffic  collected in 2012 via UCSD Network Telescope,Public,No,http://www.caida.org/data/passive/telescope-educationaldataset.xml,Industry,Attacker Related,Attacks,,1
Hannah,"Feature Selection for Robust Backscatter DDoSDetection",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7365905,LCN Workshop,2015,No,Existing,specific  darknet  dataset  including only  normal traffic  from  2008 via UCSD Network Telescope,Public,No,http://www.caida.org/data/passive/passive2008dataset.xml,Industry,Macro-level Internet Characteristics,Network Traces,,1
Hannah,"Feature Selection for Robust Backscatter DDoSDetection",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7365905,LCN Workshop,2015,No,Existing,specific  darknet  dataset  including only  normal traffic  from  2014 via UCSD Network Telescope,Public,No,http://www.caida.org/data/passive/passive2014dataset.xml,Industry,Macro-level Internet Characteristics,Network Traces,,1
Hannah,"Feature Selection for Robust Backscatter DDoSDetection",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7365905,LCN Workshop,2015,No,Existing,specific  darknet  dataset  including  mostly  DDoS  traffic  collected in 2007 via UCSD Network Telescope,Public,DS-117,http://www.caida.org/data/passive/ddos-20070804dataset.xml,Industry,Macro-level Internet Characteristics,Network Traces,,1
Hannah,"Feature Selection for Robust Backscatter DDoSDetection",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7365905,LCN Workshop,2015,No,Existing,specific  darknet  dataset  including  mostly  DDoS  traffic  collected in 2008 via UCSD Network Telescope,Public,DS-380,http://www.caida.org/data/passive/backscatter2008dataset.xml,Industry,Macro-level Internet Characteristics,Network Traces,,1
Hannah,Shades of Grey: On the effectiveness of reputation-based _岩blacklists_褲,http://nsrg.eecs.umich.edu/publications/malware08_final.pdf,MALWARE 2008,2008,Yes,Create Primary,"Spam received by a large academic network consisting of 7,000 unique hosts, with millions of email messages, over a period 10 days in June of 2008",No,No,/,Industry,Attacker Related,Attacks,,102
Hannah,"Identifying and Characterizing Anycastin the Domain Name System",ftp://www.isi.edu/isi-pubs/tr-671.pdf,N/A,2011,Yes,Create Derivative,Anycast_Enumeration_from_rDNS_to_AS112-20120504,Public,DS-350,https://www.impactcybertrust.org/dataset_view?idDataset=350,Research,Macro-level Internet Characteristics,Network Traces,,4
Hannah,An Empirical Comparison of Botnet Detection Methods,https://pdfs.semanticscholar.org/eabb/a0b46f4325d28d6e02f4ebbf70f40a1263a5.pdf,N/A,2014,No,Create Primary, dataset consisted in a set of virtualized computers running the Microsoft Windows XP SP2 operating system on top of a Linux Debian host,Public,No,https://mcfp.felk.cvut.cz/,Research,Attacker Related,Attacks,,70
Hannah,Uncovering Network Tarpits with Degreaser,http://dl.acm.org/citation.cfm?id=2664285,N/A,2014,Yes,Create Primary,"Scan of the /24 network by attempting to establish TCP connections to each IP address in the subnet and capture the packets for further analysis, additional scans of the internet",Public,DS-439,https://scans.io/study/sonar.http                                                                        http://www.isi.edu/ant/address/                                                          http://www.caida.org/data/passive/passive_2013_dataset.xml,Industry,Macro-level Internet Characteristics,Network Traces,,10
Hannah,Uncovering Network Tarpits with Degreaser,http://dl.acm.org/citation.cfm?id=2664285,N/A,2014,Yes,Create Primary,107 different tarpit subnetworks ranging in size from /16 (with up to 2^16 fake hosts) to /24 (with up to 2^8 fake hosts),No,No,/,Research,Macro-level Internet Characteristics,Topology,,10
Hannah,The Internet Motion Sensor: A distributed global scoped Internet threat monitoring system,https://cse.umich.edu/techreports/cse/2004/CSE-TR-491-04.pdf,N/A,2004,No,Existing,ims-bagle_backdoor,Public,DS-018,https://www.impactcybertrust.org/dataset_view?idDataset=18,Research,Attacker Related,Attacks,,11
Hannah,Metric tree-like structures in real-life networks: an empirical study,https://arxiv.org/pdf/1402.3364.pdf,N/A,2016,No,Existing,Amazon,Public,No,http://snap.stanford.edu/data/com-Amazon.html,Industry,Macro-level Internet Characteristics,Applications,,32
Hannah,On Measuring the Geographic Diversity of Internet Routes,https://arxiv.org/pdf/1601.01116v1.pdf,N/A,2016,No,Existing,Traceroute dataset from IPlane,No,No,/,Industry,Macro-level Internet Characteristics,Network Traces,,0
Hannah,DARPA-2009 Intrusion Detection Dataset Report,http://www.darpa2009.netsec.colostate.edu/DARPA_Set_Report.pdf ,N/A,2009,No,Existing,DARPA Scalable Network Monitoring (SNM) Program Traffic,Public,DS-303,https://www.impactcybertrust.org/dataset_view?idDataset=303,Research,Macro-level Internet Characteristics,Network Traces,,5
